Conference,Name
Western Athletic Conference,Abilene Christian University
Southwestern Athletic Conference,Alabama A&M University
Southwestern Athletic Conference,Alabama State University
Southwestern Athletic Conference,Alcorn State University
Patriot League,American University
Sun Belt Conference,Appalachian State University
Pacific-12 Conference,Arizona State University
Sun Belt Conference,Arkansas State University
Southeastern Conference,Auburn University
ASUN Conference,Austin Peay State University
Mid-American Conference,Ball State University
Big 12 Conference,Baylor University
ASUN Conference,Bellarmine University
Missouri Valley Conference,Belmont University
Southwestern Athletic Conference,Bethune-Cookman University
Mountain West Conference,Boise State University
Atlantic Coast Conference,Boston College
Patriot League,Boston University
Mid-American Conference,Bowling Green State University
Missouri Valley Conference,Bradley University
West Coast Conference,Brigham Young University
Ivy League,Brown University
American East Conference,Bryant University
Patriot League,Bucknell University
Big East Conference,Butler University
Western Athletic Conference,California Baptist University
Big Sky Conference,California Polytechnic State University – San Luis Obispo
Big West Conference,California State University – Bakersfield
Mountain West Conference,California State University – Fresno
Big West Conference,California State University – Fullerton
Big West Conference,California State University – Long Beach
Big West Conference,California State University – Northridge
Big Sky Conference,California State University – Sacramento
Big South Conference,Campbell University
Metro Atlantic Athletic Conference,Canisius College
Northeast Conference,Central Connecticut State University
Mid-American Conference,Central Michigan University
Big South Conference,Charleston Southern University
Ohio Valley Conference,Chicago State University
Atlantic Coast Conference,Clemson University
Horizon League,Cleveland State University
Sun Belt Conference,Coastal Carolina University
Patriot League,Colgate University
Colonial Athletic Association,College of Charleston
Patriot League,College of the Holy Cross
Mountain West Conference,Colorado State University
Ivy League,Columbia University
Mid-Eastern Athletic Conference,Coppin State University
Ivy League,Cornell University
Big East Conference,Creighton University
Ivy League,Dartmouth College
Atlantic 10 conference,Davidson College
Mid-Eastern Athletic Conference,Delaware State University
Big East Conference,DePaul University
Misouri Valley Conference,Drake University
Colonial Athletic Association,Drexel University
Atlantic Coast Conference,Duke University
Altantic 10 Conference,Duquesne University
American Athletic Conference,East Carolina University
Southern Conference,East Tennessee State University
Ohio Valley Conference,Eastern Illinois University
Asun Conference,Eastern Kentucky University
Mid-American Conference,Eastern Michigan University
Big Sky Conference,Eastern Washington University
Colonial Athletic Association,Elon University
Metro Atlantic Athletic Conference,Fairfield University
Northeast Conference,Fairleigh Dickinson University
Southwestern Athletic Conference,Florida A&M University
The american athletic Conference,Florida Atlantic University
Atlantic Sun Conference,Florida Gulf Coast University
Conference USA,Florida International University
Atlantic Coast Conference,Florida State University
Patriot League,Fordham University
Southern Conference,Furman University
Big South Conference,Gardner-Webb University
Atlantic 10 Conference,George Mason University
Atlantic 10 Conference,George Washington University
Patriot League,Georgetown University
Sun Belt Conference,Georgia Southern University
Sun Belt Conference,Georgia State University
Atlantic Coast Conference,Georgia Tech
West Coast Conference,Gonzaga University
Southwestern Athletic Conference,Grambling State University
Western Athletic Conference,Grand Canyon University
Minnesota Intercollegiate Athletic Conference,Hamline University
Colonial Athletic Association,Hampton University
Ivy League,Harvard University
Big South Conference,High Point University
Colonial Athletic Association,Hofstra University
Southland Conference,Houston Christian University
Mid-Eastern Athletic Conference,Howard University
Big Sky Conference,Idaho State University
Missouri Valley Conference,Illinois State University
Missouri Valley Conference,Indiana State University
Big Ten Conference,Indiana University
Horizon League,Indiana University-Purdue University – Indianapolis (IUPUI)
Metro Atlantic Athletic Conference,Iona University
Big 12 Conference,Iowa State University
Southwestern Athletic Conference,Jackson State University
ASUN Conference,Jacksonville State University
Atlantic Sun Conference,Jacksonville University
Colonial Athletic Association,James Madison University
Big 12 Conference,Kansas State University
Atlantic Sun Conference,Kennesaw State University
Mid-American Conference,Kent State University
Atlantic 10 Conference,La Salle University
Patriot League,Lafayette College
Southland Conference,Lamar University
Patriot League,Lehigh University
Conference USA,Liberty University
Ohio Valley Conference,Lindenwood University
Atlantic Sun Conference,Lipscomb University
Northeast Conference,Long Island University
Big South Conference,Longwood University
Southeastern Conference,Louisiana State University (LSU)
Conference USA,Louisiana Tech University
West Coast Conference,Loyola Marymount University
Atlantic 10 Conference,Loyola University Chicago
Patriot League,Loyola University Maryland
Metro Atlantic Athletic Conference,Manhattan College
Metro Atlantic Athletic Conference,Marist College
Big East Conference,Marquette University
Conference USA,Marshall University
Southland Conference,McNeese State University
Southern Conference,Mercer University
Northeast Conference,Merrimack College
Mid-American Conference,Miami University
Big Ten Conference,Michigan State University
Conference USA,Middle Tennessee State University
Southeastern Conference,Mississippi State University
Southwestern Athletic Conference,Mississippi Valley State University
Missouri Valley Conference,Missouri State University
Mid-Eastern Athletic Conference,Monmouth University
Big Sky Conference,Montana State University
Ohio Valley Conference,Morehead State University
Mid-Eastern Athletic Conference,Morgan State University
Metro Atlantic Athletic Conference,Mount St. Mary's University
Missouri Valley Conference,Murray State University
American East Conference,New Jersey Institute of Technology
Sun Belt Conference,New Mexico State University
Metro Atlantic Athletic Conference,Niagara University
Southland Conference,Nicholls State University
Mid-Eastern Athletic Conference,Norfolk State University
Mid-Eastern Athletic Conference,North Carolina A&T State University
Mid-Eastern Athletic Conference,North Carolina Central University
Atlantic Coast Conference,North Carolina State University
Summit League,North Dakota State University
Colonial Athletic Association,Northeastern University
Big Sky Conference,Northern Arizona University
Mid-American Conference,Northern Illinois University
Horizon League,Northern Kentucky University
Southland Conference,Northwestern State University of Louisiana
Big Ten Conference,Northwestern University
Horizon League,Oakland University
Big Ten Conference,Ohio State University
Mid-American Conference,Ohio University
Big 12 Conference,Oklahoma State University
Sunbelt Conference,Old Dominion University
The Summit League,Oral Roberts University
Pacific-12 Conference,Oregon State University
Big Ten Conference,Penn State
West Coast Conference,Pepperdine University
Big Sky Conference,Portland State University
Southwestern Athletic Conference,Prairie View A & M University
Big South Conference,Presbyterian College
Ivy League,Princeton University
Big East Conference,Providence College
Big Ten Conference,Purdue University
Horizon League,Purdue University – Fort Wayne
Atlantic Sun Conference,Queens University of Charlotte
Metro Atlantic Athletic Conference,Quinnipiac University
Big South Conference,Radford University
Conference USA,Rice University
Metro Atlantic Athletic Conference,Rider University
Northeast Conference,Robert Morris University – Pennsylvania
Big Ten Conference,Rutgers University
Northeast Conference,Sacred Heart University
Northeast Conference,Saint Francis University
Atlantic 10 Conference,Saint Joseph's University
Atlantic 10 Conference,Saint Louis University
West Coast Conference,Saint Mary's College of California
Metro Atlantic Athletic Conference,Saint Peter's University
Western Athletic Conference,Sam Houston State University
Southern Conference,Samford University
Mountain West Conference,San Diego State University
Mountain West Conference,San Jose State University
West Coast Conference,Santa Clara University
Western Athletic Conference,Seattle University
Big East Conference,Seton Hall University
Metro Atlantic Athletic Conference,Siena College
Mid-Eastern Athletic Conference,South Carolina State University
Summit League Conference,South Dakota State University
Ohio Valley Conference,Southeast Missouri State University
Southland Conference,Southeastern Louisiana University
Missouri Valley Conference,Southern Illinois University Carbondale
Ohio Valley Conference,Southern Illinois University Edwardsville
American Athletic Conference,Southern Methodist University – SMU
Southwestern Athletic Conference,Southern University & A&M College
Western Athletic Conference,Southern Utah University
Atlantic 10 Conference,St. Bonaventure University
Northeast Conference,St. Francis College
Big East Conference,St. John's University – New York
Pacific-12 Conference,Stanford University
Western Conference,Stephen F Austin State University
Metro Atlantic Athletic Conference,Stetson University
Northeast Conference,Stonehill College
America East Conference,SUNY Binghamton University
Colonial Athletic Association,SUNY Stony Brook University
America East Conference,SUNY University at Albany
Mid-American Conference,SUNY University at Buffalo
American Athletics Conference,Syracuse University
Western Athletic Conference,Tarleton State University
American Athletic Conference,Temple University
Ohio Valley Conference,Tennessee State University
Southeastern Conference,Texas A&M University
Lone Star Conference,Texas A&M University – Commerce
Southland Conference,Texas A&M University – Corpus Christi
Big 12 Conference,Texas Christian University
Southwestern Athletic Conference,Texas Southern University
Sun Belt Conference,Texas State University
Big 12 Conference,Texas Tech University
Southern Conference,The Citadel
Colonial Athletic Association,Towson University
Sun Belt Conference,Troy University
American Athletic Conference,Tulane University
Mountain West Conference,United States Air Force Academy
Patriot League,United States Military Academy
Patriot League,United States Naval Academy
Mid-American Conference,University of Akron
Southeastern Conference,University of Alabama
Conference USA,University of Alabama – Birmingham
Pacific-12 Conference,University of Arizona
Southeastern Conference,University of Arkansas
Sun Belt Conference,University of Arkansas at Little Rock
Southwestern Athletic Conference,University of Arkansas at Pine Bluff
Pacific-12 Conference,University of California – Berkeley
Big Sky Conference,University of California – Davis
Big West Conference,University of California – Irvine
Pacific-12 Conference,UCLA
